pminud, FUNCTION, (pminudInstr), SSE/AVX Instruction, SSE
pminuw, FUNCTION, (pminuwInstr), SSE/AVX Instruction, SSE
pmovmskb, FUNCTION, (pmovmskbInstr), SSE/AVX Instruction, SSE
pmovsxbd, FUNCTION, (pmovsxbdInstr), SSE/AVX Instruction, SSE
pmovsxbq, FUNCTION, (pmovsxbqInstr), SSE/AVX Instruction, SSE
pmovsxbw, FUNCTION, (pmovsxbwInstr), SSE/AVX Instruction, SSE
pmovsxdq, FUNCTION, (pmovsxdqInstr), SSE/AVX Instruction, SSE
pmovsxwd, FUNCTION, (pmovsxwdInstr), SSE/AVX Instruction, SSE
pmovsxwq, FUNCTION, (pmovsxwqInstr), SSE/AVX Instruction, SSE
pmovzxbd, FUNCTION, (pmovzxbdInstr), SSE/AVX Instruction, SSE
pmovzxbq, FUNCTION, (pmovzxbqInstr), SSE/AVX Instruction, SSE
pmovzxbw, FUNCTION, (pmovzxbwInstr), SSE/AVX Instruction, SSE
pmovzxdq, FUNCTION, (pmovzxdqInstr), SSE/AVX Instruction, SSE
pmovzxwd, FUNCTION, (pmovzxwdInstr), SSE/AVX Instruction, SSE
pmovzxwq, FUNCTION, (pmovzxwqInstr), SSE/AVX Instruction, SSE
pmuldq, FUNCTION, (pmuldqInstr), SSE/AVX Instruction, SSE
pmulhrsw, FUNCTION, (pmulhrswInstr), SSE/AVX Instruction, SSE
pmulhuw, FUNCTION, (pmulhuwInstr), SSE/AVX Instruction, SSE
pmulhw, FUNCTION, (pmulhwInstr), SSE/AVX Instruction, SSE
pmulld, FUNCTION, (pmulldInstr), SSE/AVX Instruction, SSE
pmullw, FUNCTION, (pmullwInstr), SSE/AVX Instruction, SSE
pmuludq, FUNCTION, (pmuludqInstr), SSE/AVX Instruction, SSE
por, FUNCTION, (porInstr), SSE/AVX Instruction, SSE
psadbw, FUNCTION, (psadbwInstr), SSE/AVX Instruction, SSE
pshufb, FUNCTION, (pshufbInstr), SSE/AVX Instruction, SSE
